productid,country,company,cost,estimatedTime,tracked
32868589524,MU,China Post Registered Air Mail,2.21 USD,27-47 days,true
32868589524,MU,AliExpress Standard Shipping,5.41 USD,23-40 days,true
32868589524,MU,DHL,99.45 USD,8-17 days,true
32868589524,MC,China Post Registered Air Mail,0 USD,23-52 days,true
32868589524,MC,AliExpress Standard Shipping,5.19 USD,20-40 days,true
32868589524,MC,DHL,51.82 USD,7-15 days,false
32868589524,MZ,China Post Registered Air Mail,2.21 USD,34-57 days,false
32868589524,MZ,AliExpress Standard Shipping,5.41 USD,42-57 days,false
32868589524,MZ,EMS,52.14 USD,7-15 days,true
32868589524,MZ,DHL,99.45 USD,13-23 days,true
32868589524,YT,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,YT,DHL,99.45 USD,7-15 days,true
32868589524,NR,China Post Registered Air Mail,2.21 USD,20-40 days,true
32868589524,NR,AliExpress Standard Shipping,4.93 USD,20-40 days,true
32868589524,NR,DHL,99.45 USD,7-15 days,true
32868589524,MD,China Post Registered Air Mail,2.21 USD,29-55 days,true
32868589524,MD,AliExpress Standard Shipping,5.41 USD,25-41 days,true
32868589524,MD,DHL,99.45 USD,10-23 days,true
32868589524,LS,China Post Registered Air Mail,2.21 USD,20-40 days,true
32868589524,LS,AliExpress Standard Shipping,5.41 USD,20-40 days,true
32868589524,LS,DHL,99.45 USD,7-15 days,true
32868589524,MO,AliExpress Standard Shipping,4.93 USD,20-40 days,true
32868589524,MO,EMS,15.23 USD,10-25 days,true
32868589524,MO,DHL,26.11 USD,7-15 days,true
32868589524,MQ,China Post Registered Air Mail,2.31 USD,23-43 days,true
32868589524,MQ,AliExpress Standard Shipping,5.41 USD,21-34 days,true
32868589524,MQ,DHL,99.45 USD,10-21 days,true
32868589524,NC,China Post Registered Air Mail,2.07 USD,41-60 days,true
32868589524,NC,AliExpress Standard Shipping,4.93 USD,29-47 days,true
32868589524,NC,DHL,99.45 USD,17-23 days,true
32868589524,KW,China Post Registered Air Mail,2.21 USD,31-53 days,false
32868589524,KW,AliExpress Standard Shipping,4.87 USD,28-47 days,false
32868589524,KW,EMS,52.14 USD,18-27 days,true
32868589524,KW,DHL,66.25 USD,10-19 days,true
32868589524,LV,China Post Registered Air Mail,0 USD,32-48 days,true
32868589524,LV,AliExpress Standard Shipping,4.84 USD,17-27 days,true
32868589524,LV,DHL,51.82 USD,10-20 days,true
32868589524,LV,EMS,52.14 USD,13-26 days,true
32868589524,MG,China Post Registered Air Mail,2.21 USD,24-44 days,false
32868589524,MG,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,MG,EMS,52.14 USD,7-15 days,true
32868589524,MG,DHL,99.45 USD,7-15 days,true
32868589524,MN,China Post Registered Air Mail,2.01 USD,17-32 days,true
32868589524,MN,AliExpress Standard Shipping,4.93 USD,25-46 days,true
32868589524,MN,EMS,22.26 USD,12-20 days,true
32868589524,MN,DHL,99.45 USD,7-15 days,true
32868589524,MH,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,MH,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,MH,DHL,99.45 USD,7-15 days,true
32868589524,MS,China Post Registered Air Mail,2.31 USD,20-40 days,false
32868589524,MS,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,MS,DHL,99.45 USD,7-15 days,true
32868589524,NP,China Post Registered Air Mail,2.01 USD,23-45 days,false
32868589524,NP,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,NP,EMS,35.14 USD,7-15 days,true
32868589524,NP,DHL,99.45 USD,7-15 days,true
32868589524,LU,China Post Registered Air Mail,2.19 USD,29 days,true
32868589524,LU,ePacket,5.19 USD,24 days,true
32868589524,LU,AliExpress Standard Shipping,5.19 USD,25 days,true
32868589524,LU,EMS,32.80 USD,26 days,true
32868589524,LU,DHL,51.82 USD,8-20 days,true
32868589524,LB,China Post Registered Air Mail,2.05 USD,37-59 days,true
32868589524,LB,AliExpress Standard Shipping,5.15 USD,36-58 days,true
32868589524,LB,EMS,39.24 USD,5-17 days,false
32868589524,LB,DHL,99.45 USD,10-23 days,true
32868589524,MY,China Post Registered Air Mail,0 USD,22-38 days,true
32868589524,MY,AliExpress Standard Shipping,4.16 USD,18-30 days,true
32868589524,MY,ePacket,4.85 USD,20-35 days,true
32868589524,MY,EMS,22.26 USD,13-27 days,true
32868589524,MY,DHL,39.36 USD,8-16 days,true
32868589524,NA,China Post Registered Air Mail,2.21 USD,46-60 days,false
32868589524,NA,AliExpress Standard Shipping,5.41 USD,42-57 days,false
32868589524,NA,DHL,99.45 USD,23-46 days,true
32868589524,LI,China Post Registered Air Mail,2.21 USD,16-28 days,true
32868589524,LI,AliExpress Standard Shipping,5.19 USD,15-23 days,true
32868589524,LI,DHL,51.82 USD,7-15 days,true
32868589524,LT,China Post Registered Air Mail,0 USD,34-53 days,true
32868589524,LT,AliExpress Standard Shipping,4.93 USD,18-29 days,true
32868589524,LT,DHL,51.82 USD,9-21 days,true
32868589524,ML,China Post Registered Air Mail,2.21 USD,21-50 days,false
32868589524,ML,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,ML,EMS,52.14 USD,7-15 days,true
32868589524,ML,DHL,99.45 USD,7-15 days,true
32868589524,FM,AliExpress Standard Shipping,4.93 USD,20-40 days,false
32868589524,FM,DHL,99.45 USD,7-15 days,true
32868589524,KG,China Post Registered Air Mail,2.09 USD,35-54 days,false
32868589524,KG,AliExpress Standard Shipping,5.19 USD,30-48 days,false
32868589524,KG,DHL,99.45 USD,7-15 days,true
32868589524,LY,China Post Registered Air Mail,2.21 USD,20-40 days,false
32868589524,LY,AliExpress Standard Shipping,5.41 USD,20-40 days,false
32868589524,LY,DHL,66.25 USD,11-18 days,true
32868589524,MK,China Post Registered Air Mail,2.21 USD,29-54 days,false
32868589524,MK,AliExpress Standard Shipping,5.19 USD,24-42 days,false
32868589524,MK,DHL,99.45 USD,14-23 days,true
32868589524,MA,China Post Registered Air Mail,1.81 USD,31-48 days,false
32868589524,MA,AliExpress Standard Shipping,5.00 USD,27-39 days,false
32868589524,MA,EMS,52.14 USD,16-27 days,true
32868589524,MA,DHL,99.45 USD,8-21 days,true
32868589524,PH,China Post Registered Air Mail,0 USD,31-55 days,false
32868589524,PH,AliExpress Standard Shipping,4.39 USD,32-55 days,false
32868589524,PH,EMS,22.26 USD,18-27 days,true
32868589524,PH,DHL,39.36 USD,9-19 days,true
32868589524,PG,China Post Registered Air Mail,2.01 USD,25-42 days,true
32868589524,PG,AliExpress Standard Shipping,4.93 USD,20-40 days,true
32868589524,PG,EMS,24.60 USD,7-15 days,true
